z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.010593749999999999,4.3148946606818104,0.0,300.00000203130725,0.8676736237227296,0.35483860585672039,1.4178784342972414e-17,5.2757937707389086e-14,0.64516139414304885,5.0141334545804966e-15,1.4760260741258575e-13,2.4554098862256799e-14,6.2351248092299999e-16,-5.8430756265604005e-103
0.010624999999999999,4.3148937683986661,0.0,300.00000700699053,0.8676738031500072,0.35483844672366832,7.8937486829738751e-17,2.0533082482541803e-13,0.6451615532752224,2.8031357126085844e-14,7.4899669361210494e-13,1.2363634552192185e-13,3.3061867102319208e-15,-9.3364672537326705e-103
0.010656249999999999,4.3148914550800157,0.0,300.00002506354247,0.8676742683305748,0.35483802191138719,4.4222607049513694e-16,8.2830767914851696e-13,0.64516197808302911,1.5747052519584052e-13,3.9350740724590155e-12,6.435525682510055e-13,1.8949766547897326e-14,-1.348673651107617e-102
0.010687499999999999,4.3148855287853598,0.0,300.00009058955459,0.8676754600394517,0.35483688785807965,2.4825681366117907e-15,3.3719939409807755e-12,0.64516311211339894,8.8573209558725639e-13,2.0798892810863272e-11,3.3522904021056996e-12,1.1017278879990087e-13,-1.7047401681058725e-102
0.010718749999999999,4.3148706127083614,0.0,300.00032837657875,0.8676784595033665,0.3548338604609983,1.3952569436368589e-14,1.3758137726802292e-11,0.64516613939229317,4.9850300621224731e-12,1.0996859222672644e-10,1.734082418980536e-11,6.4212506695133422e-13,-1.7895436998172158e-102
0.010749999999999999,4.3148340760225761,0.0,300.00119126896055,0.8676858067283413,0.35482577873167676,7.8479001564087821e-14,5.6165801730875313e-11,0.64517422051052686,2.8067541398137679e-11,5.8094506167223004e-10,8.8795608737258846e-11,3.7441144161178776e-12,-1.3738543142483829e-102
0.010781249999999999,4.3147484536348779,0.0,300.00432252385951,0.8677030251677069,0.35480420443329724,4.4186154506256184e-13,2.293195684341049e-10,0.64519579164270335,1.5807429052202224e-10,3.0655383575978624e-09,4.4879271985701529e-10,2.1832725267920692e-11,-3.7467730731427968e-103
0.010796874999999999,4.3146682510901666,0.0,300.00897479868627,0.8677191543083863,0.35477991073462206,1.2643247020974698e-12,5.1608458240105507e-10,0.64522007878882881,4.4896040840479727e-10,8.2847587152821472e-09,1.1618332224254447e-09,6.3647882871285056e-11,2.6003144433202615e-103
0.010812499999999999,4.3145532373887994,0.0,300.01974208228864,0.8677422851911074,0.35473533976248112,3.7592679281404324e-12,1.2447766959295671e-09,0.64526462934672779,1.3342096327972003e-09,2.4734786725808653e-08,3.3667925649422713e-09,2.0646623946509137e-10,8.9068295549928425e-103
0.010828124999999999,4.31441663466736,0.0,300.04466224925596,0.867769759516551,0.35465357117192642,1.1327873128057132e-11,3.0963198014486888e-09,0.64534633418339249,4.0184222958564916e-09,7.6613368166440767e-08,1.0211019763972503e-08,6.9422332546231852e-10,1.5108504480899742e-102
